wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;;;;
46800000;0;False;5;25;;;;;;;
46900000;0;False;7;25;;;;;;;
47000000;0;False;4;25;;;;;;;
47100000;0;False;8;25;;;;;;;
47200000;0;False;5;25;;;;;;;
47300000;0;False;14;25;;;;;;;
47400000;0;False;5;25;;;;;;;
47500000;0;False;7;25;;;;;;;
47600000;0;False;7;25;;;;;;;
47700000;0;False;12;25;;;;;;;
47800000;0;False;7;25;;;;;;;
47900000;0;False;6;25;;;;;;;
48000000;0;False;6;25;;;;;;;
48100000;0;False;6;25;;;;;;;
48200000;0;False;7;25;;;;;;;
48300000;0;False;5;25;;;;;;;
48400000;0;False;4;25;;;;;;;
48500000;0;False;13;25;;;;;;;
48600000;0;False;7;25;;;;;;;
48700000;0;False;4;25;;;;;;;
48800000;0;False;6;25;;;;;;;
48900000;0;False;7;25;;;;;;;
49000000;0;False;6;25;;;;;;;
49100000;0;False;7;25;;;;;;;
49200000;0;False;7;25;;;;;;;
49300000;0;False;6;25;;;;;;;
49400000;0;False;5;25;;;;;;;
49500000;0;False;7;25;;;;;;;
49600000;0;False;6;25;;;;;;;
49700000;0;False;4;25;;;;;;;
49800000;0;False;7;25;;;;;;;
49900000;0;False;7;25;;;;;;;
50000000;0;False;5;25;;;;;;;
50100000;0;False;6;25;;;;;;;
50200000;0;False;7;25;;;;;;;
50300000;0;False;8;25;;;;;;;
50400000;0;False;7;25;;;;;;;
50500000;0;False;6;25;;;;;;;
50600000;0;False;5;25;;;;;;;
50700000;0;False;5;25;;;;;;;
50800000;0;False;4;25;;;;;;;
50900000;0;False;3;25;;;;;;;
51000000;0;False;4;25;;;;;;;
51100000;0;False;4;25;;;;;;;
51200000;0;False;5;25;;;;;;;
51300000;0;False;5;25;;;;;;;
51400000;0;False;7;25;;;;;;;
51500000;0;False;7;25;;;;;;;
51600000;0;False;4;25;;;;;;;
51700000;0;False;4;25;;;;;;;
51800000;0;False;4;25;;;;;;;
51900000;0;False;5;25;;;;;;;
52000000;0;False;5;25;;;;;;;
52100000;0;False;4;25;;;;;;;
52200000;0;False;6;25;;;;;;;
52300000;0;False;5;25;;;;;;;
52400000;0;False;5;25;;;;;;;
52500000;0;False;7;25;;;;;;;
52600000;0;False;12;25;;;;;;;
52700000;0;False;5;25;;;;;;;
52800000;0;False;5;25;;;;;;;
52900000;0;False;4;25;;;;;;;
53000000;0;False;4;25;;;;;;;
53100000;0;False;7;25;;;;;;;
53200000;0;False;6;25;;;;;;;
53300000;0;False;6;25;;;;;;;
53400000;0;False;7;25;;;;;;;
53500000;0;False;4;25;;;;;;;
53600000;0;False;5;25;;;;;;;
53700000;0;False;14;25;;;;;;;
53800000;0;False;5;25;;;;;;;
53900000;0;False;6;25;;;;;;;
54000000;0;False;9;25;;;;;;;
54100000;0;False;5;25;;;;;;;
54200000;0;False;3;25;;;;;;;
54300000;0;False;5;25;;;;;;;
54400000;0;False;5;25;;;;;;;
54500000;0;False;5;25;;;;;;;
54600000;0;False;5;25;;;;;;;
54700000;0;False;4;25;;;;;;;
54800000;0;False;4;25;;;;;;;
54900000;0;False;6;25;;;;;;;
55000000;0;False;5;25;;;;;;;
55100000;0;False;8;25;;;;;;;
55200000;0;False;5;25;;;;;;;
55300000;0;False;5;25;;;;;;;
55400000;0;False;6;25;;;;;;;
55500000;0;False;4;25;;;;;;;
55600000;0;False;4;25;;;;;;;
55700000;0;False;4;25;;;;;;;
55800000;0;False;5;25;;;;;;;
55900000;0;False;6;25;;;;;;;
56000000;0;False;8;25;;;;;;;
56100000;0;False;6;25;;;;;;;
56200000;0;False;4;25;;;;;;;
56300000;0;False;6;25;;;;;;;
56400000;0;False;6;25;;;;;;;
56500000;0;False;6;25;;;;;;;
56600000;0;False;6;25;;;;;;;
56700000;0;False;5;25;;;;;;;
56800000;0;False;7;25;;;;;;;
56900000;0;False;7;25;;;;;;;
57000000;0;False;7;25;;;;;;;
57100000;0;False;5;25;;;;;;;
57200000;0;False;5;25;;;;;;;
57300000;0;False;7;25;;;;;;;
57400000;0;False;5;25;;;;;;;
57500000;0;False;4;25;;;;;;;
57600000;0;False;6;25;;;;;;;
57700000;0;False;13;25;;;;;;;
57800000;0;False;5;25;;;;;;;
57900000;0;False;6;25;;;;;;;
58000000;0;False;10;25;;;;;;;
58100000;0;False;6;25;;;;;;;
58200000;0;False;6;25;;;;;;;
58300000;0;False;9;25;;;;;;;
58400000;0;False;4;25;;;;;;;
58500000;0;False;6;25;;;;;;;
58600000;0;False;5;25;;;;;;;
58700000;0;False;6;25;;;;;;;
58800000;0;False;4;25;;;;;;;
58900000;0;False;4;25;;;;;;;
59000000;0;False;4;25;;;;;;;
59100000;0;False;7;25;;;;;;;
59200000;0;False;4;25;;;;;;;
59300000;0;False;8;25;;;;;;;
59400000;0;False;6;25;;;;;;;
59500000;0;False;4;25;;;;;;;
59600000;0;False;6;25;;;;;;;
59700000;0;False;6;25;;;;;;;
59800000;0;False;5;25;;;;;;;
59900000;0;False;7;25;;;;;;;
60000000;0;False;7;25;;;;;;;
60100000;0;False;6;25;;;;;;;
60200000;0;False;6;25;;;;;;;
60300000;0;False;5;25;;;;;;;
60400000;0;False;5;25;;;;;;;
60500000;0;False;6;25;;;;;;;
60600000;0;False;5;25;;;;;;;
60700000;0;False;6;25;;;;;;;
60800000;0;False;4;25;;;;;;;
60900000;0;False;5;25;;;;;;;
61000000;0;False;4;25;;;;;;;
61100000;0;False;5;25;;;;;;;
61200000;0;False;5;25;;;;;;;
61300000;0;False;5;25;;;;;;;
61400000;0;False;4;25;;;;;;;
61500000;0;False;4;25;;;;;;;
61600000;0;False;4;25;;;;;;;
61700000;0;False;4;25;;;;;;;
61800000;0;False;4;25;;;;;;;
61900000;0;False;5;25;;;;;;;
62000000;0;False;6;25;;;;;;;
62100000;0;False;4;25;;;;;;;
62200000;0;False;8;25;;;;;;;
62300000;0;False;5;25;;;;;;;
62400000;0;False;4;25;;;;;;;
62500000;0;False;5;25;;;;;;;
62600000;0;False;4;25;;;;;;;
62700000;0;False;5;25;;;;;;;
62800000;0;False;6;25;;;;;;;
62900000;0;False;6;25;;;;;;;
63000000;0;False;5;25;;;;;;;
63100000;0;False;5;25;;;;;;;
63200000;0;False;6;25;;;;;;;
63300000;0;False;5;25;;;;;;;
63400000;0;False;4;25;;;;;;;
63500000;0;False;4;25;;;;;;;
63600000;0;False;4;25;;;;;;;
63700000;0;False;5;25;;;;;;;
63800000;0;False;4;25;;;;;;;
63900000;0;False;5;25;;;;;;;
64000000;0;False;5;25;;;;;;;
64100000;0;False;6;25;;;;;;;
64200000;0;False;6;25;;;;;;;
64300000;0;False;5;25;;;;;;;
64400000;0;False;7;25;;;;;;;
64500000;0;False;7;25;;;;;;;
64600000;0;False;6;25;;;;;;;
64700000;0;False;6;25;;;;;;;
64800000;0;False;6;25;;;;;;;
64900000;0;False;6;25;;;;;;;
65000000;0;False;6;25;;;;;;;
65100000;0;False;5;25;;;;;;;
65200000;0;False;5;25;;;;;;;
65300000;0;False;5;25;;;;;;;
65400000;0;False;6;25;;;;;;;
65500000;0;False;6;25;;;;;;;
65600000;0;False;5;25;;;;;;;
65700000;0;False;6;25;;;;;;;
65800000;0;False;9;25;;;;;;;
65900000;0;False;6;25;;;;;;;
66000000;0;False;5;25;;;;;;;
66100000;0;False;6;25;;;;;;;
66200000;0;False;8;25;;;;;;;
66300000;0;False;7;25;;;;;;;
66400000;0;False;5;25;;;;;;;
66500000;0;False;4;25;;;;;;;
66600000;0;False;5;25;;;;;;;
66700000;0;False;6;25;;;;;;;
66800000;0;False;6;25;;;;;;;
66900000;0;False;6;25;;;;;;;
67000000;0;False;4;25;;;;;;;
67100000;0;False;7;25;;;;;;;
67200000;0;False;7;26;;;;;;;
67300000;0;False;4;26;;;;;;;
67400000;0;False;4;26;;;;;;;
67500000;0;False;8;26;;;;;;;
67600000;0;False;8;26;;;;;;;
67700000;0;False;7;26;;;;;;;
67800000;0;False;6;26;;;;;;;
67900000;0;False;6;26;;;;;;;
68000000;0;False;5;26;;;;;;;
68100000;0;False;6;26;;;;;;;
68200000;0;False;5;26;;;;;;;
68300000;0;False;4;26;;;;;;;
68400000;0;False;7;26;;;;;;;
68500000;0;False;6;26;;;;;;;
68600000;0;False;4;26;;;;;;;
68700000;0;False;7;26;;;;;;;
68800000;0;False;7;26;;;;;;;
68900000;0;False;5;26;;;;;;;
69000000;0;False;12;26;;;;;;;
69100000;0;False;4;26;;;;;;;
69200000;0;False;6;26;;;;;;;
69300000;0;False;6;26;;;;;;;
69400000;0;False;5;26;;;;;;;
69500000;0;False;5;26;;;;;;;
69600000;0;False;7;26;;;;;;;
69700000;0;False;5;26;;;;;;;
69800000;0;False;6;26;;;;;;;
69900000;0;False;5;26;;;;;;;
70000000;0;False;8;26;;;;;;;
70100000;0;False;6;26;;;;;;;
70200000;0;False;7;26;;;;;;;
70300000;0;False;7;26;;;;;;;
70400000;0;False;7;26;;;;;;;
70500000;0;False;7;26;;;;;;;
70600000;0;False;5;26;;;;;;;
70700000;0;False;7;26;;;;;;;
70800000;0;False;7;26;;;;;;;
70900000;0;False;6;26;;;;;;;
71000000;0;False;5;26;;;;;;;
71100000;0;False;6;26;;;;;;;
71200000;0;False;8;26;;;;;;;
71300000;0;False;8;26;;;;;;;
71400000;0;False;5;26;;;;;;;
71500000;0;False;5;26;;;;;;;
71600000;0;False;6;26;;;;;;;
71700000;0;False;6;26;;;;;;;
71800000;0;False;4;26;;;;;;;
71900000;0;False;6;26;;;;;;;
72000000;0;False;6;26;;;;;;;
72100000;0;False;7;26;;;;;;;
72200000;0;False;7;26;;;;;;;
72300000;0;False;5;26;;;;;;;
72400000;0;False;6;26;;;;;;;
72500000;0;False;7;26;;;;;;;
72600000;0;False;7;26;;;;;;;
72700000;0;False;7;26;;;;;;;
72800000;0;False;6;26;;;;;;;
72900000;0;False;6;26;;;;;;;
73000000;0;False;13;26;;;;;;;
73100000;0;False;7;26;;;;;;;
73200000;0;False;6;26;;;;;;;
73300000;0;False;6;26;;;;;;;
73400000;0;False;5;26;;;;;;;
73500000;0;False;6;26;;;;;;;
73600000;0;False;5;26;;;;;;;
73700000;0;False;6;26;;;;;;;
73800000;0;False;15;26;;;;;;;
73900000;0;False;6;26;;;;;;;
74000000;0;False;7;26;;;;;;;
74100000;0;False;7;26;;;;;;;
74200000;0;False;8;26;;;;;;;
74300000;0;False;7;26;;;;;;;
74400000;0;False;7;26;;;;;;;
74500000;0;False;9;26;;;;;;;
74600000;0;False;6;26;;;;;;;
74700000;0;False;5;26;;;;;;;
74800000;0;False;8;26;;;;;;;
