wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
31400000;15700000;True;2;1;;;;
31500000;15750000;True;1;1;;;;
31600000;15800000;True;2;1;;;;
31700000;15850000;True;2;1;;;;
31800000;15900000;True;1;1;;;;
31900000;15950000;True;2;1;;;;
32000000;16000000;True;7;1;;;;
32100000;16050000;True;0;1;;;;
32200000;16100000;True;3;1;;;;
32300000;16150000;True;1;1;;;;
32400000;16200000;True;1;1;;;;
32500000;16250000;True;3;1;;;;
32600000;16300000;True;3;1;;;;
32700000;16350000;True;2;1;;;;
32800000;16400000;True;3;1;;;;
32900000;16450000;True;1;1;;;;
33000000;16500000;True;3;1;;;;
33100000;16550000;True;1;1;;;;
33200000;16600000;True;0;1;;;;
33300000;16650000;True;0;1;;;;
33400000;16700000;True;3;1;;;;
33500000;16750000;True;1;1;;;;
33600000;16800000;True;2;1;;;;
33700000;16850000;True;1;1;;;;
33800000;16900000;True;4;1;;;;
33900000;16950000;True;1;1;;;;
34000000;17000000;True;1;1;;;;
34100000;17050000;True;1;1;;;;
34200000;17100000;True;1;1;;;;
34300000;17150000;True;2;1;;;;
34400000;17200000;True;4;1;;;;
34500000;17250000;True;2;1;;;;
34600000;17300000;True;1;1;;;;
34700000;17350000;True;2;1;;;;
34800000;17400000;True;2;1;;;;
34900000;17450000;True;2;1;;;;
35000000;17500000;True;3;1;;;;
35100000;17550000;True;1;1;;;;
35200000;17600000;True;1;1;;;;
35300000;17650000;True;2;1;;;;
35400000;17700000;True;2;1;;;;
35500000;17750000;True;2;1;;;;
35600000;17800000;True;3;1;;;;
35700000;17850000;True;2;1;;;;
35800000;17900000;True;2;1;;;;
35900000;17950000;True;1;1;;;;
36000000;18000000;True;2;1;;;;
36100000;18050000;True;2;1;;;;
36200000;18100000;True;1;1;;;;
36300000;18150000;True;2;1;;;;
36400000;18200000;True;0;1;;;;
36500000;18250000;True;2;1;;;;
36600000;18300000;True;1;1;;;;
36700000;18350000;True;3;1;;;;
36800000;18400000;True;4;1;;;;
36900000;18450000;True;3;1;;;;
37000000;18500000;True;1;1;;;;
37100000;18550000;True;3;1;;;;
37200000;18600000;True;3;1;;;;
37300000;18650000;True;2;1;;;;
37400000;18700000;True;3;1;;;;
37500000;18750000;True;1;1;;;;
37600000;18800000;True;2;1;;;;
37700000;18850000;True;3;1;;;;
37800000;18900000;True;4;1;;;;
37900000;18950000;True;3;1;;;;
38000000;19000000;True;2;1;;;;
38100000;19050000;True;2;1;;;;
38200000;19100000;True;2;1;;;;
38300000;19150000;True;2;1;;;;
38400000;19200000;True;1;1;;;;
38500000;19250000;True;3;1;;;;
38600000;19300000;True;2;1;;;;
38700000;19350000;True;2;1;;;;
38800000;19400000;True;0;1;;;;
38900000;19450000;True;1;1;;;;
39000000;19500000;True;2;1;;;;
39100000;19550000;True;2;1;;;;
39200000;19600000;True;2;1;;;;
39300000;19650000;True;2;1;;;;
39400000;19700000;True;1;1;;;;
39500000;19750000;True;2;1;;;;
39600000;19800000;True;3;1;;;;
39700000;19850000;True;2;1;;;;
39800000;19900000;True;2;1;;;;
39900000;19950000;True;3;1;;;;
40000000;20000000;True;2;1;;;;
40100000;20050000;True;3;1;;;;
40200000;20100000;True;2;1;;;;
40300000;20150000;True;2;1;;;;
40400000;20200000;True;3;1;;;;
