wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
19300000;8,19217E+18;9650000;110874;9650001;;;9150001;107701
19400000;-8,07225E+18;9700000;115151;9700001;;;9200001;107735
19500000;-2,28621E+18;9750000;114798;9750001;;;9250001;107600
19600000;-6,67154E+18;9800000;113564;9800001;;;9300001;107043
19700000;7,56562E+18;9850000;115159;9850001;;;9350001;113911
19800000;8,00837E+18;9900000;116005;9900001;;;9400001;111710
19900000;-8,60542E+18;9950000;118568;9950001;;;9450001;113190
20000000;2,40835E+18;10000000;115081;10000001;;;9500001;113388
20100000;-4,86981E+17;10050000;118002;10050001;;;9550001;112603
20200000;-6,51019E+18;10100000;120010;10100001;;;9600001;113408
20300000;-6,26059E+18;10150000;119685;10150001;;;9650001;110874
20400000;-3,24722E+18;10200000;120011;10200001;;;9700001;115151
20500000;5,94564E+18;10250000;121199;10250001;;;9750001;114798
20600000;8,99201E+18;10300000;123691;10300001;;;9800001;113564
20700000;4,22438E+18;10350000;121146;10350001;;;9850001;115159
20800000;-6,35907E+18;10400000;122743;10400001;;;9900001;116005
20900000;6,41394E+16;10450000;123457;10450001;;;9950001;118568
21000000;1,48249E+18;10500000;122013;10500001;;;10000001;115081
21100000;6,0364E+18;10550000;125339;10550001;;;10050001;118002
21200000;-8,97423E+18;10600000;124623;10600001;;;10100001;120010
21300000;4,13298E+18;10650000;123800;10650001;;;10150001;119685
21400000;5,03431E+17;10700000;124958;10700001;;;10200001;120011
21500000;1,14587E+18;10750000;123838;10750001;;;10250001;121199
21600000;-7,89542E+18;10800000;123882;10800001;;;10300001;123691
21700000;3,22242E+18;10850000;125709;10850001;;;10350001;121146
21800000;-8,26701E+18;10900000;125792;10900001;;;10400001;122743
21900000;-3,04822E+18;10950000;128569;10950001;;;10450001;123457
22000000;-2,04224E+18;11000000;128895;11000001;;;10500001;122013
22100000;7,04386E+18;11050000;129645;11050001;;;10550001;125339
22200000;-1,75343E+17;11100000;129001;11100001;;;10600001;124623
22300000;-5,41676E+18;11150000;129663;11150001;;;10650001;123800
22400000;7,31826E+18;11200000;131278;11200001;;;10700001;124958
22500000;3,0317E+18;11250000;132779;11250001;;;10750001;123838
22600000;1,79254E+18;11300000;133837;11300001;;;10800001;123882
22700000;-7,10807E+18;11350000;131522;11350001;;;10850001;125709
22800000;-6,63539E+18;11400000;135350;11400001;;;10900001;125792
22900000;5,6363E+18;11450000;135108;11450001;;;10948817;128337
23000000;2,42787E+16;11500000;134534;11500001;;;10950001;128569
23100000;7,00092E+18;11550000;139857;11550001;;;11000001;128895
23200000;2,68281E+18;11600000;137476;11600001;;;11050001;129645
23300000;3,00501E+18;11650000;143960;11650001;;;11100001;129001
23400000;-8,26645E+16;11700000;138972;11700001;;;11150001;129663
23500000;5,31043E+18;11750000;141942;11750001;;;11200001;131278
23600000;4,97008E+18;11800000;145923;11800001;;;11250001;132779
23700000;4,58236E+18;11850000;140345;11850001;;;11300001;133837
23800000;7,68835E+17;11900000;139642;11900001;;;11350001;131522
23900000;-6,09052E+18;11950000;141828;11950001;;;11400001;135350
24000000;-7,74036E+18;12000000;145035;12000001;;;11450001;135108
24100000;2,9886E+18;12050000;145053;12050001;;;11500001;134534
24200000;-2,86288E+17;12100000;141343;12100001;;;11550001;139857
24300000;-7,85114E+18;12150000;141648;12150001;;;11600001;137476
24400000;7,25379E+18;12200000;145747;12200001;;;11650001;143960
24500000;7,62083E+18;12250000;143106;12250001;;;11700001;138972
24600000;2,49234E+18;12300000;145099;12300001;;;11750001;141942
24700000;7,9658E+18;12350000;145484;12350001;;;11800001;145923
24800000;7,00606E+18;12400000;146553;12400001;;;11850001;140345
24900000;-7,16543E+17;12450000;146876;12450001;;;11900001;139642
25000000;8,04167E+18;12500000;150023;12500001;;;11950001;141828
25100000;4,96364E+18;12550000;147618;12550001;;;12000001;145035
25200000;-7,92339E+18;12600000;148035;12600001;;;12050001;145053
25300000;8,17342E+18;12650000;147964;12650001;;;12100001;141343
25400000;1,83318E+18;12700000;152621;12700001;;;12150001;141648
25500000;-3,85332E+18;12750000;183931;12750001;;;12200001;145747
25600000;6,93629E+18;12800000;151564;12800001;;;12250001;143106
25700000;4,89183E+18;12850000;151047;12850001;;;12300001;145099
25800000;-5,81198E+18;12900000;152317;12900001;;;12350001;145484
25900000;-3,10543E+18;12950000;153285;12950001;;;12400001;146553
26000000;-6,40981E+18;13000000;154374;13000001;;;12450001;146876
26100000;5,20719E+18;10948816;128337;10948817;;;12500001;150023
26200000;9,09957E+18;13100000;155283;13100001;;;12550001;147618
26300000;3,92254E+18;13150000;155826;13150001;;;12600001;148035
26400000;4,31774E+18;13200000;159947;13200001;;;12650001;147964
26500000;-5,77336E+17;13250000;155179;13250001;;;12700001;152621
26600000;-6,89161E+17;13300000;153876;13300001;;;12750001;183931
26700000;6,57216E+18;13350000;157683;13350001;;;12800001;151564
26800000;-2,36287E+18;13400000;158967;13400001;;;12850001;151047
26900000;3,32271E+18;13450000;155943;13450001;;;12900001;152317
27000000;-4,50777E+18;13500000;163767;13500001;;;12950001;153285
27100000;7,51241E+18;13550000;164233;13550001;;;13000001;154374
27200000;5,09602E+18;13600000;161187;13600001;;;13100001;155283
27300000;-5,60551E+18;13650000;158109;13650001;;;13150001;155826
27400000;-2,76014E+18;13700000;161437;13700001;;;13200001;159947
27500000;2,16571E+18;13750000;164985;13750001;;;13250001;155179
27600000;7,27625E+18;13800000;161488;13800001;;;13300001;153876
27700000;8,43066E+18;13850000;164871;13850001;;;13350001;157683
27800000;5,56185E+18;13900000;165706;13900001;;;13400001;158967
27900000;5,0288E+17;13950000;165155;13950001;;;13450001;155943
28000000;-3,22869E+18;14000000;167371;14000001;;;13500001;163767
28100000;-4,01409E+18;14050000;165485;14050001;;;13550001;164233
28200000;4,54962E+17;14100000;164529;14100001;;;13600001;161187
28300000;1,68017E+18;14150000;168631;14150001;;;13650001;158109
28400000;6,65422E+18;14200000;167726;14200001;;;13700001;161437
28500000;5,83925E+18;14250000;166400;14250001;;;13750001;164985
28600000;-8,33962E+18;14300000;164791;14300001;;;13800001;161488
28700000;2,53184E+18;14350000;166571;14350001;;;13850001;164871
28800000;-8,63574E+18;14400000;168967;14400001;;;13900001;165706
28900000;-3,80692E+18;14450000;171630;14450001;;;13950001;165155
29000000;-2,31827E+17;14500000;171966;14500001;;;14000001;167371
29100000;3,36482E+18;14550000;174033;14550001;;;14050001;165485
29200000;4,20226E+18;14600000;170599;14600001;;;14100001;164529
29300000;2,20268E+18;14650000;171328;14650001;;;14150001;168631
29400000;-7,50515E+18;14700000;171413;14700001;;;14200001;167726
29500000;-7,59124E+17;14750000;171766;14750001;;;14250001;166400
29600000;4,57325E+18;14800000;175869;14800001;;;14300001;164791
29700000;-8,36073E+18;14850000;175818;14850001;;;14350001;166571
29800000;-4,01272E+18;14900000;171681;14900001;;;14400001;168967
29900000;6,13208E+18;14950000;176008;14950001;;;14450001;171630
30000000;-3,29556E+18;15000000;175195;15000001;;;14500001;171966
30100000;1,94299E+18;15050000;180526;15050001;;;14550001;174033
30200000;-3,26824E+18;15100000;183311;15100001;;;14600001;170599
30300000;-6,18977E+18;15150000;183290;15150001;;;14650001;171328
30400000;3,52345E+18;15200000;178610;15200001;;;14700001;171413
30500000;4,83215E+18;15250000;182221;15250001;;;14750001;171766
30600000;-3,17688E+18;15300000;180663;15300001;;;14800001;175869
30700000;-7,18398E+18;15350000;180454;15350001;;;14850001;175818
30800000;-8,28813E+18;15400000;177135;15400001;;;14900001;171681
30900000;-8,60411E+18;15450000;180901;15450001;;;14950001;176008
